,Acc,F1,Train_size,Test_size,Features,CV,CLF
3,77.52808988764045,77.3716540558132,5535,890,BERT,9,GaussianNB
4,70.92547092547092,70.82401927228156,5204,1221,BERT,9,GaussianNB
5,42.857142857142854,30.0,6411,14,BERT,9,GaussianNB
6,13.733905579399142,12.80881723232737,6192,233,BERT,9,GaussianNB
7,57.14285714285714,52.55628517823641,6187,238,BERT,9,GaussianNB
8,57.2463768115942,56.8635761589404,6287,138,BERT,9,GaussianNB
0,53.775853775853776,52.6106359991129,4346,2079,RPT,9,GaussianNB
1,56.60542432195975,48.93460637722933,5282,1143,RPT,9,GaussianNB
2,51.812366737739865,47.73471400394477,5956,469,RPT,9,GaussianNB
3,64.04494382022472,62.9351990671331,5535,890,RPT,9,GaussianNB
4,57.73955773955773,56.633462186539795,5204,1221,RPT,9,GaussianNB
5,85.71428571428571,46.15384615384615,6411,14,RPT,9,GaussianNB
6,63.94849785407726,40.110159118727054,6192,233,RPT,9,GaussianNB
7,56.30252100840336,50.41666666666668,6187,238,RPT,9,GaussianNB
8,42.7536231884058,29.949238578680205,6287,138,RPT,9,GaussianNB
0,69.45646945646946,65.94016486511798,4346,2079,RPT + W2V,9,GaussianNB
1,67.71653543307087,58.87402747211493,5282,1143,RPT + W2V,9,GaussianNB
2,58.2089552238806,57.28438661710037,5956,469,RPT + W2V,9,GaussianNB
3,69.32584269662921,68.53612770470552,5535,890,RPT + W2V,9,GaussianNB
4,72.23587223587224,72.15451215451216,5204,1221,RPT + W2V,9,GaussianNB
5,85.71428571428571,46.15384615384615,6411,14,RPT + W2V,9,GaussianNB
6,41.201716738197426,30.34151663938898,6192,233,RPT + W2V,9,GaussianNB
7,65.54621848739495,65.485285795133,6187,238,RPT + W2V,9,GaussianNB
8,44.927536231884055,36.60541586073501,6287,138,RPT + W2V,9,GaussianNB
0,75.08417508417509,71.18230160106353,4346,2079,RPT + BERT,9,GaussianNB
1,68.67891513560805,60.30418383739611,5282,1143,RPT + BERT,9,GaussianNB
2,69.5095948827292,69.4156007022824,5956,469,RPT + BERT,9,GaussianNB
3,77.19101123595506,76.97095462129603,5535,890,RPT + BERT,9,GaussianNB
4,71.49877149877149,71.47257551669315,5204,1221,RPT + BERT,9,GaussianNB
5,50.0,33.33333333333333,6411,14,RPT + BERT,9,GaussianNB
6,27.038626609442062,22.733302122347066,6192,233,RPT + BERT,9,GaussianNB
7,60.50420168067227,60.36706349206349,6187,238,RPT + BERT,9,GaussianNB
8,55.072463768115945,53.671215074723854,6287,138,RPT + BERT,9,GaussianNB
0,83.35738335738336,77.43631148651701,4346,2079,RPT + BERT,9,SVC
1,75.8530183727034,52.32029502448461,5282,1143,RPT + BERT,9,SVC
2,65.2452025586354,64.09337497945091,5956,469,RPT + BERT,9,SVC
3,75.73033707865169,75.71267580010208,5535,890,RPT + BERT,9,SVC
4,72.64537264537265,70.82491543951421,5204,1221,RPT + BERT,9,SVC
5,64.28571428571429,39.130434782608695,6411,14,RPT + BERT,9,SVC
6,20.600858369098713,17.93431699190861,6192,233,RPT + BERT,9,SVC
7,54.20168067226891,47.860516531001906,6187,238,RPT + BERT,9,SVC
8,56.52173913043478,55.92931658505429,6287,138,RPT + BERT,9,SVC
0,72.2943722943723,66.29703763911749,4346,2079,RP,9,SVC
1,71.0411198600175,56.01929727687522,5282,1143,RP,9,SVC
2,64.60554371002132,64.07490125143048,5956,469,RP,9,SVC
3,63.48314606741573,62.21576918504934,5535,890,RP,9,SVC
4,67.64946764946765,65.0329699808234,5204,1221,RP,9,SVC
5,35.714285714285715,26.31578947368421,6411,14,RP,9,SVC
6,23.605150214592275,19.760872929887014,6192,233,RP,9,SVC
7,57.56302521008403,56.392068646481505,6187,238,RP,9,SVC
